Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
ID204511,204511,0,22.76149559,10.93183195,18.80117158,0,162,54,0.25,1,,25.39344262,25,16,34,1549,4.550746051,340.3442623,337,224,450,20761,51.0665857,90.49180328,70,28,246,5520,57.82059119,,,-0.11053109,-1.386828173,0.029471026,0.381586266,0.671504151,1.257470927
ID204617,204617,0,19.49888039,10.9044009,18.7619834,0,165,55,0.25,1,,22.67213115,23,14,31,1383,3.51530611,352.0163934,345,256,470,21473,45.25170045,81.08196721,65,25,187,4946,45.92250541,,,-0.130966598,-1.943941852,0.030898606,0.466316636,0.645629421,1.385415264
ID205007,205007,0,21.91569138,10.87918913,18.76864128,0,168,56,0.25,1,,26.29508197,27,17,33,1604,3.826853635,342.5737705,349,232,459,20897,50.6775621,88.24590164,72,24,213,5383,50.66677272,,,-0.072459197,-1.073552196,0.033201533,0.434451686,0.662408032,1.38799934
ID204915,204915,0,19.34711456,10.89039104,18.77798075,0,171,57,0.25,1,,23.44262295,23,17,35,1430,3.626405889,350.1147541,351,239,466,21357,52.6241701,80.98360656,64,21,198,4940,46.40348112,,,-0.11810516,-1.731457578,0.046270376,0.588456346,0.640069116,1.362201235
ID204823,204823,0,18.53188133,10.87221083,18.82085498,0,174,58,0.25,1,,22.21311475,22,14,30,1355,3.521906463,353.1147541,362,256,447,21540,50.70867722,77.29508197,55,24,203,4715,45.27410749,,,-0.113842678,-1.620525659,0.04261331,0.569227116,0.660541821,1.358258595
ID205406,205406,0,20.10175705,10.91570948,18.83176878,0,177,59,0.25,1,,23.14754098,22,17,35,1412,3.687076826,341.7213115,335,263,463,20845,43.88968411,80.45901639,64,23,217,4908,47.69226834,,,-0.114640503,-1.625814908,0.044593213,0.664754316,0.67684613,1.361925881
ID205209,205209,0,15.29177856,10.93469264,18.79913929,0,180,60,0.25,1,,25.80327869,27,17,35,1574,4.234066887,321.4262295,323,213,405,19607,48.03348104,63.29508197,52,19,137,3861,33.74282356,,,-0.072750946,-0.956289578,0.033685221,0.436132388,0.633668865,1.455180538
ID205501,205501,0,17.19750404,10.89249052,18.79322086,0,183,61,0.25,1,,25.54098361,24,17,35,1558,3.93519915,321.8360656,323,227,438,19632,51.6630688,71.63934426,52,19,170,4370,40.62512884,,,-0.088858614,-1.265944486,0.023029043,0.280460975,0.637946731,1.373635447
ID205311,205311,0,17.52348709,10.89722204,18.78016749,0,186,62,0.25,1,,25.13114754,23,18,39,1533,5.283544927,309.1311475,305,220,405,18857,48.40952916,72.2295082,58,27,162,4406,38.73688743,,,-0.091404123,-0.956999993,0.030621792,0.379466279,0.630693689,1.442334616
ID205120,205120,0,18.87143707,10.89334612,18.76375665,0,189,63,0.25,1,,23.60655738,24,18,30,1440,3.169009774,326.3606557,321,245,425,19908,51.61945137,77.55737705,65,27,177,4731,44.67308085,,,-0.120477935,-2.040797195,0.047960269,0.578696956,0.635614154,1.349335367
