LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID38033,38033,7,1.5223687887191772,13.252304203083229,14.67467508988539,0.0,66.03691577911377,22,0.25,1,,124.24590163934427,119.0,99.0,168.0,7579.0,16.201497603313214,27.147540983606557,26.0,18.0,47.0,1656.0,6.247228893874389,,,0.008608571975147451,0.1309077525592784,0.096371084536765,0.7639452731252073
ID39181,39181,7,1.914825201034546,13.188666297017782,14.695593758518193,0.0,69.03859376907349,23,0.25,1,,127.32786885245902,130.0,87.0,160.0,7767.0,17.890147485394866,27.311475409836067,27.0,17.0,41.0,1666.0,5.634835057055226,,,0.010499797455329283,0.1479054699130352,0.1302425533145099,1.1170566470103729
ID37061,37061,7,2.0801918506622314,13.164411429960946,14.656491578244138,0.0,72.0402717590332,24,0.25,1,,128.54098360655738,130.0,90.0,174.0,7841.0,16.605795946487888,28.0,26.0,20.0,45.0,1708.0,5.89349924351682,,,0.02295241399145476,0.3473640379791666,0.1315729047072331,1.1048382917036093
ID37568,37568,7,1.681005835533142,13.159341602422037,14.625161049366483,0.0,75.04194974899292,25,0.25,1,,134.47540983606558,134.0,98.0,176.0,8203.0,17.721556136879414,26.557377049180328,25.0,19.0,37.0,1620.0,4.551646552490408,,,0.02199363823599266,0.3266027989506328,0.11752382557503756,1.2272012063487632
ID38330,38330,7,1.6324913501739502,13.190036964257436,14.605784491807196,0.0,78.04362773895264,26,0.25,1,,125.75409836065573,124.0,100.0,166.0,7671.0,17.728184469656334,27.540983606557376,27.0,20.0,37.0,1680.0,4.225217037785567,,,0.0034848177968385017,0.049267117226180934,0.11453077794384,1.3396475820664868
ID38825,38825,7,2.197329044342041,13.161704358777701,14.58928581074275,0.0,81.04530572891235,27,0.25,1,,132.86885245901638,129.0,102.0,182.0,8105.0,17.423619419087476,30.42622950819672,30.0,19.0,46.0,1856.0,5.925816445558206,,,0.018065291979723994,0.27063512205400597,0.14130584792767611,1.2714170482446583
ID39143,39143,7,2.2416930198669434,13.11157752909487,14.61010339213915,0.0,84.04698371887207,28,0.25,1,,127.24590163934427,127.0,91.0,170.0,7762.0,18.991801509866413,29.131147540983605,27.0,20.0,46.0,1777.0,6.763814037055488,,,-0.002687995421209318,-0.036116454888051513,0.1449385983698229,1.0904299973942768
ID40228,40228,7,2.3960788249969482,13.101033748387856,14.530810426242086,0.0,87.04866170883179,29,0.25,1,,133.49180327868854,131.0,95.0,190.0,8143.0,18.88440533952082,29.065573770491802,27.0,17.0,45.0,1773.0,6.605222308797325,,,0.026735332140033742,0.36813605863811677,0.1481998664319106,1.1359305440028342
ID39889,39889,7,2.8919143676757812,13.065744256462363,14.570134483197707,0.0,90.0503396987915,30,0.25,1,,136.60655737704917,133.0,107.0,183.0,8333.0,18.077867396833245,31.278688524590162,29.0,17.0,48.0,1908.0,6.821854947009116,,,0.03394677029107701,0.49619756267583126,0.1902745754120935,1.4659179228173802
ID40689,40689,7,3.427393674850464,12.980164024451993,14.531462503072062,0.0,93.05201768875122,31,0.25,1,,140.40983606557376,139.0,107.0,196.0,8565.0,20.37594746196303,32.40983606557377,31.0,17.0,51.0,1977.0,8.573947066900457,,,0.026099356918107792,0.35055010935624725,0.20224519165153582,1.2717776494663948
